id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
821920419282972252,Home in Tanunda · ★4.87 · 2 bedrooms · 2 beds · 1 bath,78710746,Emma,,Tanunda,-34.53751,138.95358,Entire home/apt,323,2,15,2023-06-07,4.69,2,271,15,,Barossa Valley
822930476514810622,Home in Tanunda · ★5.0 · 1 bedroom · 1 bed · 1 private bath,47672122,Jo,,Tanunda,-34.52381,138.95723,Private room,176,1,12,2023-06-18,3.33,1,106,12,,Barossa Valley
824178348921213322,Home in Nuriootpa · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,398692841,Kylie,,Nuriootpa,-34.46536,138.98043,Entire home/apt,280,1,16,2023-06-18,3.90,1,201,16,,Barossa Valley
824789965710980308,Home in Tanunda · ★5.0 · 3 bedrooms · 3 beds · 2 baths,500655156,Lisa,,Tanunda,-34.5124438368938,138.9775788411498,Entire home/apt,363,2,5,2023-06-12,2.24,1,169,5,,Barossa Valley
825038296557859465,Home in Tanunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,175822582,Josh,,Tanunda,-34.5267025,138.9571473,Entire home/apt,450,1,12,2023-06-20,3.36,3,339,12,,Barossa Valley
825047876832990063,Rental unit in Tanunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,175822582,Josh,,Tanunda,-34.5267025,138.9571473,Entire home/apt,450,1,8,2023-06-25,2.55,3,345,8,,Barossa Valley
825630229231840810,Guesthouse in Marananga · 1 bedroom · 1 bed · 1 bath,275161574,Wendy,,Marananga,-34.48418,138.93898,Entire home/apt,354,1,0,,,2,323,0,,Barossa Valley
829062794074578427,Home in Nuriootpa · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,156498827,Wenli & Dominic,,Nuriootpa,-34.47429,138.94424,Entire home/apt,657,1,8,2023-06-10,2.45,1,169,8,,Barossa Valley
832029740889145365,Cabin in Marananga · ★4.33 · 1 bedroom · 3 beds · 1 bath,497989134,Cabn,,Marananga,-34.50419,138.9327,Entire home/apt,320,1,3,2023-05-20,1.18,8,307,3,,Barossa Valley
832043904378090270,Cabin in Marananga · ★5.0 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.50408,138.93048,Entire home/apt,304,1,4,2023-06-14,1.35,8,302,4,,Barossa Valley
845922754899608416,Cottage in Kapunda · ★New · 3 bedrooms · 3 beds · 1 bath,335068302,Juliet,,Kapunda,-34.301957,138.8542431,Entire home/apt,335,2,2,2023-06-12,2,1,361,2,,Barossa Valley
848070741154984852,Home in Greenock · ★4.75 · 3 bedrooms · 5 beds · 1.5 baths,505423341,Mitchell,,Greenock,-34.45791,138.93141,Entire home/apt,361,2,4,2023-06-11,1.82,1,354,4,,Barossa Valley
855244046779105277,Home in Vine Vale · ★4.80 · 4 bedrooms · 7 beds · 3 baths,469195852,Karen,,Angaston,-34.510605,139.019844,Entire home/apt,900,2,5,2023-06-25,1.88,1,315,5,,Barossa Valley
859856068881777318,Home in Tanunda · 3 bedrooms · 5 beds · 2 baths,241630453,Melissa,,Tanunda,-34.51673,138.96701,Entire home/apt,320,2,0,,,2,235,0,,Barossa Valley
884565926441716482,Home in Eden Valley · ★5.0 · 1 bedroom · 2 beds · 1 bath,57979524,Georgie,,Eden Valley,-34.638353774065166,139.09871242940426,Entire home/apt,189,2,3,2023-06-12,2.43,1,165,3,,Barossa Valley
886458452855579093,Cottage in Lyndoch · ★New · 3 bedrooms · 3 beds · 1 bath,444700361,Amy,,Lyndoch,-34.601818295509545,138.88767567976225,Entire home/apt,238,2,0,,,1,0,0,,Barossa Valley
886723096462681317,Guest suite in Nuriootpa · ★5.0 · 1 bedroom · 1 bed · 1 bath,507533752,Garry,,Nuriootpa,-34.48203,138.99297,Entire home/apt,210,2,5,2023-06-21,5,1,291,5,,Barossa Valley
892251887601842416,Home in Nuriootpa · ★New · 5 bedrooms · 6 beds · 3 baths,284867983,Rosa,,Nuriootpa,-34.46841,138.957,Entire home/apt,1495,2,0,,,2,328,0,,Barossa Valley
910502962189532573,Home in Tanunda · ★New · 3 bedrooms · 3 beds · 2 baths,19654974,Rosie,,Tanunda,-34.51049,138.96668,Entire home/apt,347,2,0,,,1,120,0,,Barossa Valley
910682658818665405,Guest suite in Angaston · ★New · 2 bedrooms · 2 beds · 1 bath,496094184,Rebekah Bianca,,Angaston,-34.500722,139.049761,Entire home/apt,199,1,0,,,1,289,0,,Barossa Valley
913230078821818136,Home in Lyndoch · ★New · 4 bedrooms · 7 beds · 2.5 baths,165139718,Janet,,Lyndoch,-34.58306,138.87635,Entire home/apt,590,2,0,,,1,355,0,,Barossa Valley
914716018649867579,Cabin in Seppeltsfield · ★New · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48872,138.92192,Entire home/apt,838,2,0,,,8,290,0,,Barossa Valley
