id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
6186548,Home in Mornington · ★4.87 · 3 bedrooms · 4 beds · 2 baths,32089213,Julie,,Mornington - West,-38.21989,145.03345,Entire home/apt,550,2,121,2023-05-01,1.24,1,238,3,,Mornington Peninsula
6192282,Home in Rye · ★4.56 · 4 bedrooms · 7 beds · 2.5 baths,32114025,Paul,,Point Nepean,-38.36877,144.80131,Entire home/apt,650,2,55,2022-01-23,0.56,1,365,0,,Mornington Peninsula
6214804,Home in Saint Andrews Beach · ★4.85 · 3 bedrooms · 5 beds · 2 baths,24345299,Blair,,Point Nepean,-38.43364,144.84751,Entire home/apt,238,2,101,2023-02-12,1.04,1,104,6,,Mornington Peninsula
6225779,Villa in Rye · ★4.60 · 3 bedrooms · 4 beds · 2 baths,26010864,Alberto,,Point Nepean,-38.37874,144.79233,Entire home/apt,650,7,6,2016-12-10,0.06,1,332,0,,Mornington Peninsula
6249671,Place to stay in Mornington · ★4.90 · 1 bedroom · 1 bed · 1 bath,32454233,Norm,,Mornington - West,-38.21499,145.04557,Private room,125,1,73,2022-12-29,0.74,3,0,3,,Mornington Peninsula
6251166,Home in Rye · ★4.89 · 3 bedrooms · 5 beds · 2 baths,32468157,Mike,,Point Nepean,-38.37029,144.80412,Entire home/apt,400,4,18,2023-04-11,0.27,1,350,2,,Mornington Peninsula
6330172,Rental unit in Fingal · ★4.68 · 2 bedrooms · 2 beds · 2 baths,13831866,David,,Point Nepean,-38.419506,144.851427,Entire home/apt,249,2,59,2023-01-21,0.67,68,351,2,,Mornington Peninsula
6337218,Home in Mount Martha · ★4.78 · 3 bedrooms · 4 beds · 1.5 baths,32996021,Christina,,Mount Martha,-38.27851,144.99943,Entire home/apt,314,2,95,2023-02-04,1.01,1,327,16,,Mornington Peninsula
6391440,Home in Rye · ★4.70 · 3 bedrooms · 5 beds · 1 bath,26027984,Michelle,,Point Nepean,-38.36718,144.7891,Entire home/apt,210,3,23,2023-04-10,0.25,13,339,2,,Mornington Peninsula
6453339,Home in Sorrento · ★4.80 · 5 bedrooms · 15 beds · 4 baths,17578999,Michelle,,Point Nepean,-38.34622,144.74099,Entire home/apt,508,2,5,2019-09-22,0.05,69,347,0,,Mornington Peninsula
